version,batch,operation,query,sample,milliseconds,count
baseline,0,all-view-results,,0,4.664166,1228
baseline,0,all-view-results,,1,5.07625,1228
baseline,0,all-view-results,,2,4.398667,1228
baseline,0,all-view-results,,3,3.88925,1228
baseline,0,all-view-results,,4,4.652666,1228
baseline,0,all-view-results,,5,5.060209,1228
baseline,0,all-view-results,,6,4.22225,1228
baseline,0,all-view-results,,7,4.137583,1228
baseline,0,all-view-results,,8,4.625417,1228
baseline,0,all-view-results,,9,5.00825,1228
baseline,0,all-view-results,,10,4.071708,1228
baseline,0,all-view-results,,11,5.016958,1228
baseline,0,all-view-results,,12,4.785625,1228
baseline,0,all-view-results,,13,4.353041,1228
baseline,0,all-view-results,,14,4.902291,1228
baseline,0,all-view-results,,15,4.918792,1228
baseline,0,all-view-results,,16,4.996708,1228
baseline,0,all-view-results,,17,4.719834,1228
baseline,0,all-view-results,,18,4.382917,1228
baseline,0,all-view-results,,19,4.86575,1228
baseline,0,verb-view-results,,0,4.872208,620
baseline,0,verb-view-results,,1,4.408917,620
baseline,0,verb-view-results,,2,5.413,620
baseline,0,verb-view-results,,3,6.102708,620
baseline,0,verb-view-results,,4,4.56225,620
baseline,0,verb-view-results,,5,6.818709,620
baseline,0,verb-view-results,,6,4.661292,620
baseline,0,verb-view-results,,7,4.701042,620
baseline,0,verb-view-results,,8,5.322459,620
baseline,0,verb-view-results,,9,7.359833,620
baseline,0,verb-view-results,,10,4.87125,620
baseline,0,verb-view-results,,11,6.100209,620
baseline,0,verb-view-results,,12,5.178708,620
baseline,0,verb-view-results,,13,5.094583,620
baseline,0,verb-view-results,,14,6.377458,620
baseline,0,verb-view-results,,15,5.100292,620
baseline,0,verb-view-results,,16,4.409625,620
baseline,0,verb-view-results,,17,6.063917,620
baseline,0,verb-view-results,,18,4.218833,620
baseline,0,verb-view-results,,19,4.290458,620
after,0,all-view-results,,0,1.374792,1228
after,0,all-view-results,,1,11.650167,1228
after,0,all-view-results,,2,18.73625,1228
after,0,all-view-results,,3,2.461,1228
after,0,all-view-results,,4,92.037667,1228
after,0,all-view-results,,5,11.476958,1228
after,0,all-view-results,,6,1.595917,1228
after,0,all-view-results,,7,1.233292,1228
after,0,all-view-results,,8,2.565792,1228
after,0,all-view-results,,9,1.223375,1228
after,0,all-view-results,,10,5.345292,1228
after,0,all-view-results,,11,2.979,1228
after,0,all-view-results,,12,5.078625,1228
after,0,all-view-results,,13,1.928916,1228
after,0,all-view-results,,14,1.454,1228
after,0,all-view-results,,15,4.575792,1228
after,0,all-view-results,,16,1.8295,1228
after,0,all-view-results,,17,1.464041,1228
after,0,all-view-results,,18,1.294417,1228
after,0,all-view-results,,19,2.016625,1228
after,0,verb-view-results,,0,8.896667,620
after,0,verb-view-results,,1,5.930875,620
after,0,verb-view-results,,2,3.866459,620
after,0,verb-view-results,,3,5.045334,620
after,0,verb-view-results,,4,3.2585,620
after,0,verb-view-results,,5,2.899584,620
after,0,verb-view-results,,6,2.582583,620
after,0,verb-view-results,,7,3.335334,620
after,0,verb-view-results,,8,2.740875,620
after,0,verb-view-results,,9,3.256583,620
after,0,verb-view-results,,10,2.9705,620
after,0,verb-view-results,,11,3.348,620
after,0,verb-view-results,,12,3.552,620
after,0,verb-view-results,,13,3.196875,620
after,0,verb-view-results,,14,2.612416,620
after,0,verb-view-results,,15,2.749083,620
after,0,verb-view-results,,16,3.087375,620
after,0,verb-view-results,,17,2.742084,620
after,0,verb-view-results,,18,3.372083,620
after,0,verb-view-results,,19,3.601875,620
baseline,0,all-view-results,   ,0,4.960459,1228
baseline,0,all-view-results,   ,1,4.701833,1228
baseline,0,all-view-results,   ,2,4.349667,1228
baseline,0,all-view-results,   ,3,4.2525,1228
baseline,0,all-view-results,   ,4,3.879958,1228
baseline,0,all-view-results,   ,5,4.817208,1228
baseline,0,all-view-results,   ,6,4.013375,1228
baseline,0,all-view-results,   ,7,4.946416,1228
baseline,0,all-view-results,   ,8,4.692708,1228
baseline,0,all-view-results,   ,9,5.128625,1228
baseline,0,all-view-results,   ,10,4.484959,1228
baseline,0,all-view-results,   ,11,4.935708,1228
baseline,0,all-view-results,   ,12,5.371083,1228
baseline,0,all-view-results,   ,13,5.004958,1228
baseline,0,all-view-results,   ,14,4.23475,1228
baseline,0,all-view-results,   ,15,5.409291,1228
baseline,0,all-view-results,   ,16,5.565334,1228
baseline,0,all-view-results,   ,17,4.002375,1228
baseline,0,all-view-results,   ,18,4.70775,1228
baseline,0,all-view-results,   ,19,5.370208,1228
baseline,0,verb-view-results,   ,0,5.718875,620
baseline,0,verb-view-results,   ,1,5.47025,620
baseline,0,verb-view-results,   ,2,5.169333,620
baseline,0,verb-view-results,   ,3,6.319833,620
baseline,0,verb-view-results,   ,4,5.233792,620
baseline,0,verb-view-results,   ,5,5.284667,620
