句動詞,意味（日本語）,意味（簡単な英英訳）,例文
account for,〜の割合を占める、説明する,"to explain, to form a total",The Japanese market accounts for 30% of sales.
act on,〜に従って行動する,to take action because of something,The police acted on the anonymous tip.
act up,不具合を起こす,to misbehave or malfunction,My phone is acting up again.
add to,〜を増やす、〜に加える,to increase something,The bad weather added to our difficulties.
add up,辻褄が合う,to make sense,His story just doesn't add up.
allow for,〜を考慮に入れる,to consider something when making a plan,We need to allow for delays in traffic.
answer back,口答えする,to reply rudely,Don't answer back to your mother!
ask after,〜の安否を尋ねる,to inquire about someone's health,He asked after your grandfather.
ask around,周りの人に尋ねる,to ask many people the same question,I will ask around to see if anyone found my keys.
ask out,デートに誘う,to invite someone on a date,He finally asked her out.
back away,後退する,to move backwards from something,The crowd backed away from the fire.
back down,撤回する、譲歩する,to withdraw a claim or assertion,He refused to back down even though he was wrong.
back off,引き下がる、干渉をやめる,"to retreat, to leave someone alone",Just back off and let me do my job!
back out,手を引く、約束を破る,to fail to keep a promise or agreement,You can't back out of the deal now.
back up,後退する、支持する、バックアップを取る,"to support, to copy data, to reverse",Make sure you back up your files.
bear with,我慢する、付き合う,to be patient with,Please bear with me while I find the document.
blow away,吹き飛ばす、感動させる,to impress greatly,The ending of the movie blew me away.
blow out,（火を）吹き消す、パンクする,"to extinguish, to burst",Make a wish and blow out the candles.
blow up,爆発する、激怒する,"to explode, to get angry suddenly",The terrorists tried to blow up the bridge.
boil down to,結局〜に行き着く,to be summarized as,It all boils down to who has the most money.
break away,逃げる、脱退する,to escape from captivity,The prisoner managed to break away.
break down,故障する、泣き崩れる,"to stop working, to lose emotional control",My car broke down on the highway.
break in,押し入る、割り込む,"to force entry, to interrupt",Burglars broke in while we were away.
break into,〜に押し入る,to enter forcibly,Someone broke into my car and stole the radio.
break off,突然話を辞める、関係を断つ,"to end suddenly, to sever relations",They broke off their engagement.
break out,勃発する、発生する,"to start, happen suddenly (war, disease)",War broke out in 1939.
break through,突破する,to pass a barrier or obstacle,The sun broke through the clouds.
break up,別れる、解散する,to end a relationship,They broke up after three years of dating.
bring about,引き起こす,to cause to happen,The new manager brought about many changes.
bring along,連れてくる、持ってくる,to take someone or something with you,Can I bring my friend along to the party?
bring back,持ち帰る、思い出させる,"to return, to make someone remember",Hearing that song brings back memories.
bring down,倒す、落ち込ませる,"to cause to fall, to depress",The scandal brought down the government.
bring forward,前倒しする、提出する,to change to an earlier time,The meeting has been brought forward to Tuesday.
bring in,もたらす、導入する,"to introduce, to yield income",His new business brings in a lot of money.
bring off,（困難なことを）成し遂げる,to succeed in doing something difficult,"It was a difficult task, but she brought it off."
bring on,引き起こす,to cause something (usually bad),Stress can bring on a headache.
bring out,引き出す、出版する,"to highlight, to publish",That dress brings out the color of your eyes.
bring up,育てる、話題に出す,"to raise a child, to mention",Please don't bring up that topic again.
brush off,無視する、はねつける,"to ignore, dismiss",He brushed off her criticism.
brush up on,（忘れていた知識を）やり直す,to improve your knowledge or skill,I need to brush up on my Spanish before the trip.
build up,築き上げる、増強する,"to increase, to accumulate",He has built up a successful business.
bump into,ばったり出会う,to meet by chance,I bumped into an old friend at the store.
burn down,全焼する,to destroy by fire,The old factory burned down last night.
burn out,燃え尽きる、過労で倒れる,to become exhausted from overwork,"If you work 80 hours a week, you'll burn out."
burst into,突然〜し始める（泣き出す、笑い出す）,to suddenly start doing something,She burst into tears when she heard the news.
call back,折り返し電話する,to return a phone call,"I'm busy, can I call you back later?"
call for,要求する、必要とする,"to demand, to require",This situation calls for immediate action.
call in,呼び寄せる、電話を入れる,"to summon, to phone",I need to call in sick today.
call off,中止する,to cancel,The game was called off due to rain.
call on,訪問する、当てにする,"to visit, to ask someone to do something",The teacher called on me to answer the question.
call out,大声で叫ぶ、呼び出す,"to shout, to summon into service",The workers were called out to fix the leak.
calm down,落ち着く,to become relaxed,Take a deep breath and calm down.
care for,〜の世話をする、〜を好む,"to look after, to like",Would you care for a cup of tea?
carry away,興奮させる、夢中にさせる,to become overly excited,I got carried away and bought too many clothes.
carry on,続ける,to continue,Please carry on with your work.
carry out,実行する、成し遂げる,"to perform, to complete",The scientists carried out an experiment.
carry over,持ち越す,to transfer to a later time,The meeting was carried over to next week.
catch on,流行る、理解し始める,"to become popular, to understand",The new fashion quickly caught on.
catch up,追いつく,to reach the same point,"Go ahead, I'll catch up with you later."
catch up on,（遅れを）取り戻す,to do something you did not have time to do earlier,I need to catch up on my sleep.
check in,チェックインする、連絡を入れる,"to register, to report one's presence",We checked in at the hotel at 3 PM.
check into,調査する、チェックインする,to investigate,The police are checking into the incident.
check out,チェックアウトする、確認する,"to leave a hotel, to look at",Check out this new website!
check up on,（問題ないか）確認する,to investigate someone's background or condition,My parents always check up on me.
cheer up,元気づける,to become happier,I bought her some flowers to cheer her up.
chip in,お金を出し合う、寄付する,to contribute money or help,We all chipped in to buy a gift for the boss.
clear away,片付ける,"to remove, tidy up",Please clear away these dishes.
clear out,立ち退く、片付けて空にする,"to empty completely, to leave",We need to clear out the garage this weekend.
clear up,晴れる、（疑問などを）解明する,"to become sunny, to explain",I hope the weather clears up tomorrow.
come about,起こる、生じる,to happen,How did this problem come about?
come across,偶然見つける、〜という印象を与える,"to find by chance, to appear",I came across these old photos in the attic.
come along,一緒に行く、進展する,"to accompany, to progress",Do you want to come along to the movie?
come apart,バラバラになる,to separate into pieces,The old book just came apart in my hands.
come around,意見を変える、意識を取り戻す,"to change one's mind, to regain consciousness",He'll come around to our way of thinking eventually.
